tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
8.637,14.516,1.963,9.228,11.541,5.431,14.95,4.319,14.68,5.328,138
6.134,15.268,1.289,9.582,11.853,5.082,12.702,3.791,15.19,6.294,138
6.756,17.231,1.229,8.62,13.713,3.604,10.793,5.144,11.28,3.949,135
5.261,18.894,1.219,9.121,10.47,6.477,15.045,4.44,10.04,6.016,140
6.696,13.258,1.078,8.626,10.755,3.063,15.413,5.613,12.85,4.399,135
8.845,12.568,1.036,9.458,14.704,4.587,12.44,4.665,14.399,5.726,138
10.954,16.172,1.615,8.438,13.508,4.858,12.09,5.868,11.79,4.682,140
5.41,16.068,1.165,8.003,10.522,4.535,14.097,5.432,10.527,3.22,136
7.677,12.569,1.633,9.711,13.265,3.965,13.819,3.271,12.265,3.881,138
10.737,16.024,1.843,9.002,12.45,4.754,11.311,3.324,12.735,4.367,142
11.024,12.683,1.755,8.926,12.379,3.036,10.154,5.07,15.192,5.013,139
9.634,18.575,1.498,8.495,12.326,6.002,12.661,6.035,11.517,5.954,141
10.92,19.627,1.096,8.713,14.104,5.985,14.657,3.007,12.131,4.375,138
6.709,16.284,1.284,8.379,12.505,6.157,14.199,3.965,14.664,3.382,137
11.815,13.545,1.329,8.667,11.027,3.757,11.676,3.606,13.69,6.004,140
10.497,15.564,1.917,8.628,13.735,4.549,12.755,3.011,14.366,3.165,141
7.513,18.885,1.584,9.231,14.209,4.887,10.948,3.12,14.306,3.604,136
9.776,18.877,1.478,9.729,12.207,6.286,13.707,4.918,14.507,4.497,138
8.686,15.079,1.065,9.212,13.877,4.22,14.252,4.383,12.505,3.551,139
11.424,19.947,1.333,8.413,13.494,4.826,14.826,5.31,13.171,3.346,137
5.157,14.852,1.814,8.485,12.798,5.401,14.602,3.035,10.514,3.327,137
9.651,18.235,1.828,8.729,13.371,3.28,11.063,4.237,14.071,4.327,141
7.548,14.427,1.506,8.456,12.173,4.475,13.71,5.373,13.311,6.011,138
11.962,14.935,1.92,9.528,13.758,3.662,12.875,4.876,11.381,6.328,140
8.389,19.872,1.694,9.833,14.179,4.734,13.211,5.291,11.503,6.169,138
5.685,12.73,1.387,8.42,12.761,3.599,12.961,5.725,10.734,3.134,135
7.28,13.833,1.409,8.28,14.505,5.145,14.871,3.565,12.109,3.259,135
